race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.65 (0.6221-0.6766),0.35 (0.3234-0.3779),0.5164 (0.4857-0.5456)
OVAP,0.9899 (0.9849-0.9936),0.0101 (0.0064-0.0151),0.5088 (0.496-0.5225)
