race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.8501 (0.8192-0.879),0.1499 (0.121-0.1808),0.4711 (0.4351-0.5064)
BVAP,0.9777 (0.9657-0.9866),0.0223 (0.0134-0.0343),0.324 (0.308-0.341)
HVAP,0.494 (0.2465-0.7258),0.506 (0.2742-0.7535),0.1825 (0.0995-0.3019)
OVAP,0.4118 (0.2289-0.5857),0.5882 (0.4143-0.7711),0.451 (0.3401-0.5869)
