race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.4898 (0.4441-0.5378),0.5102 (0.4622-0.5559),0.5413 (0.5055-0.5759)
OVAP,0.8234 (0.7981-0.8463),0.1766 (0.1537-0.2019),0.3043 (0.2909-0.3188)
