race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.7809 (0.7426-0.816),0.2191 (0.184-0.2574),0.51 (0.4672-0.5533)
BVAP,0.9786 (0.9671-0.9872),0.0214 (0.0128-0.0329),0.4239 (0.4046-0.4434)
HVAP,0.5782 (0.3968-0.7463),0.4218 (0.2537-0.6032),0.4571 (0.3127-0.6097)
OVAP,0.4776 (0.3158-0.6196),0.5224 (0.3804-0.6842),0.6452 (0.5084-0.7747)
