race,AG14D,AG14R,AG14Turnout
WVAP,0.6334 (0.6006-0.6651),0.3666 (0.3349-0.3994),0.3189 (0.2969-0.3404)
OVAP,0.9716 (0.9608-0.9806),0.0284 (0.0194-0.0392),0.244 (0.233-0.2552)
