race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.656 (0.622-0.6872),0.344 (0.3128-0.378),0.5713 (0.5358-0.6078)
OVAP,0.9668 (0.9543-0.9772),0.0332 (0.0228-0.0457),0.4153 (0.3974-0.4337)
