race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.7798 (0.7432-0.8152),0.2202 (0.1848-0.2568),0.3233 (0.2964-0.3494)
BVAP,0.9758 (0.9637-0.9846),0.0242 (0.0154-0.0363),0.2613 (0.2485-0.2748)
HVAP,0.4583 (0.2198-0.7014),0.5417 (0.2986-0.7802),0.1392 (0.0782-0.2242)
OVAP,0.3036 (0.1626-0.4698),0.6964 (0.5302-0.8374),0.3717 (0.2744-0.4819)
