race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.4642 (0.4182-0.5069),0.5358 (0.4931-0.5818),0.3498 (0.3249-0.3755)
OVAP,0.9412 (0.9247-0.9556),0.0588 (0.0444-0.0753),0.2534 (0.242-0.265)
