race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.6872 (0.6573-0.7152),0.3128 (0.2848-0.3427),0.5669 (0.53-0.6016)
OVAP,0.9766 (0.9646-0.9856),0.0234 (0.0144-0.0354),0.4296 (0.4106-0.4489)
