race,AG14D,AG14R,AG14Turnout
WVAP,0.7251 (0.6896-0.7603),0.2749 (0.2397-0.3104),0.312 (0.287-0.3371)
BVAP,0.9773 (0.9665-0.9857),0.0227 (0.0143-0.0335),0.2544 (0.2419-0.267)
HVAP,0.399 (0.2221-0.598),0.601 (0.402-0.7779),0.1403 (0.0859-0.2061)
OVAP,0.5391 (0.3057-0.7399),0.4609 (0.2601-0.6943),0.2262 (0.1371-0.3451)
