race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.7567 (0.731-0.7807),0.2433 (0.2193-0.269),0.4765 (0.4469-0.5066)
OVAP,0.9765 (0.9652-0.9852),0.0235 (0.0148-0.0348),0.3139 (0.2987-0.3292)
