race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.6695 (0.6352-0.7021),0.3305 (0.2979-0.3648),0.3373 (0.3138-0.3614)
OVAP,0.9562 (0.9422-0.9677),0.0438 (0.0323-0.0578),0.2537 (0.2425-0.2655)
