race,AG18D,AG18R,AG18Turnout
WVAP,0.6905 (0.6575-0.7227),0.3095 (0.2773-0.3425),0.5109 (0.4776-0.5437)
OVAP,0.9589 (0.9443-0.9713),0.0411 (0.0287-0.0557),0.319 (0.3038-0.3343)
