race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9114 (0.8699-0.9435),0.0886 (0.0565-0.1301),0.0561 (0.0484-0.0644)
OVAP,0.7622 (0.7507-0.7735),0.2378 (0.2265-0.2493),0.0912 (0.0882-0.0944)
