race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.3873 (0.367-0.4059),0.6127 (0.5941-0.633),0.4168 (0.4009-0.4312)
OVAP,0.5584 (0.2442-0.8647),0.4416 (0.1353-0.7558),0.1713 (0.0781-0.2787)
