race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.5268 (0.4674-0.5838),0.102 (0.0733-0.1321),0.1779 (0.1325-0.2204),0.0418 (0.0172-0.069),0.1514 (0.1067-0.1957),0.0343 (0.0301-0.0383)
OVAP,0.2335 (0.087-0.4097),0.1613 (0.0627-0.2792),0.2136 (0.0856-0.3652),0.172 (0.0775-0.2902),0.2195 (0.0841-0.3775),0.131 (0.0847-0.1879)
