race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.3903 (0.334-0.4476),0.3411 (0.2902-0.3919),0.2686 (0.2112-0.3219),0.0399 (0.0352-0.0443)
OVAP,0.3528 (0.1312-0.5795),0.2876 (0.1041-0.5109),0.3596 (0.1311-0.6071),0.1096 (0.0592-0.173)
