race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.6697 (0.625-0.7137),0.3303 (0.2863-0.375),0.0718 (0.0649-0.0781)
OVAP,0.5395 (0.2651-0.8174),0.4605 (0.1826-0.7349),0.1138 (0.0549-0.1932)
