race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.983 (0.97-0.9929),0.017 (0.0071-0.03),0.0403 (0.0347-0.0456)
OVAP,0.7939 (0.5304-0.9237),0.2061 (0.0763-0.4696),0.075 (0.0316-0.1343)
