race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.158 (0.1397-0.1751),0.842 (0.8249-0.8603),0.399 (0.3823-0.4123)
OVAP,0.5 (0.2039-0.8017),0.5 (0.1983-0.7961),0.1702 (0.0809-0.2842)
