race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.3976 (0.3429-0.4528),0.081 (0.0496-0.1113),0.5214 (0.4682-0.5741),0.0413 (0.0365-0.0455)
OVAP,0.3538 (0.141-0.5837),0.2891 (0.114-0.5019),0.3571 (0.14-0.5652),0.1074 (0.0611-0.1671)
