race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.3314 (0.3126-0.3474),0.6686 (0.6526-0.6874),0.5033 (0.4848-0.5184)
OVAP,0.5354 (0.235-0.8102),0.4646 (0.1898-0.765),0.1814 (0.0887-0.3052)
