race,AG18D,AG18R,AG18Turnout
WVAP,0.2972 (0.2751-0.3188),0.7028 (0.6812-0.7249),0.3782 (0.3634-0.3913)
BVAP,0.4997 (0.1795-0.8077),0.5003 (0.1923-0.8205),0.1774 (0.0879-0.2873)
HVAP,0.4464 (0.181-0.7215),0.5536 (0.2785-0.819),0.5129 (0.286-0.7674)
OVAP,0.5799 (0.2291-0.8806),0.4201 (0.1194-0.7709),0.6537 (0.3614-0.8795)
