race,AG14D,AG14R,AG14Turnout
WVAP,0.3129 (0.2903-0.3342),0.6871 (0.6658-0.7097),0.3081 (0.2942-0.3207)
OVAP,0.5366 (0.2224-0.8214),0.4634 (0.1786-0.7776),0.1498 (0.0689-0.2474)
