race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.5094 (0.4868-0.5304),0.4906 (0.4696-0.5132),0.3851 (0.3677-0.4002)
OVAP,0.5515 (0.2309-0.8279),0.4485 (0.1721-0.7691),0.1705 (0.0789-0.2801)
