race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.4613 (0.4406-0.4824),0.5387 (0.5176-0.5594),0.3387 (0.3228-0.3518)
OVAP,0.5434 (0.2146-0.8073),0.4566 (0.1927-0.7854),0.1449 (0.0599-0.2523)
