race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.26 (0.24-0.2776),0.74 (0.7224-0.76),0.5031 (0.4818-0.5188)
OVAP,0.5431 (0.2389-0.8343),0.4569 (0.1657-0.7611),0.1914 (0.0929-0.3242)
