race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.3433 (0.3237-0.3619),0.6567 (0.6381-0.6763),0.4804 (0.4609-0.4969)
OVAP,0.5518 (0.2124-0.836),0.4482 (0.164-0.7876),0.1862 (0.0857-0.3143)
