race,AG14D,AG14R,AG14Turnout
WVAP,0.303 (0.2812-0.3264),0.697 (0.6736-0.7188),0.2907 (0.2772-0.3033)
BVAP,0.4844 (0.1603-0.7927),0.5156 (0.2073-0.8397),0.1491 (0.0662-0.2526)
HVAP,0.4147 (0.1305-0.7071),0.5853 (0.2929-0.8695),0.5126 (0.2371-0.7683)
OVAP,0.6239 (0.3076-0.8746),0.3761 (0.1254-0.6924),0.6531 (0.3839-0.8878)
