race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.4577 (0.4359-0.4795),0.5423 (0.5205-0.5641),0.32 (0.3051-0.3328)
BVAP,0.5227 (0.2482-0.8142),0.4773 (0.1858-0.7518),0.1539 (0.0708-0.2633)
HVAP,0.483 (0.1834-0.7765),0.517 (0.2235-0.8166),0.5302 (0.2845-0.7912)
OVAP,0.5956 (0.2623-0.8563),0.4044 (0.1437-0.7377),0.6513 (0.3932-0.9012)
