race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.3755 (0.3519-0.3967),0.6245 (0.6033-0.6481),0.3823 (0.3649-0.3963)
OVAP,0.5723 (0.2746-0.8484),0.4277 (0.1516-0.7254),0.1801 (0.0892-0.2951)
