race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.5086 (0.4884-0.53),0.4914 (0.47-0.5116),0.3682 (0.3531-0.3819)
BVAP,0.5646 (0.2564-0.8433),0.4354 (0.1567-0.7436),0.1696 (0.0779-0.2865)
HVAP,0.4652 (0.1748-0.7595),0.5348 (0.2405-0.8252),0.5322 (0.269-0.7792)
OVAP,0.5923 (0.2724-0.8534),0.4077 (0.1466-0.7276),0.6421 (0.3477-0.8909)
