race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.2196 (0.2001-0.2369),0.7804 (0.7631-0.7999),0.344 (0.3288-0.3565)
OVAP,0.4913 (0.2035-0.7661),0.5087 (0.2339-0.7965),0.1548 (0.0742-0.2601)
