race,AG18D,AG18R,AG18Turnout
WVAP,0.3043 (0.2812-0.3257),0.6957 (0.6743-0.7188),0.3945 (0.3756-0.4103)
OVAP,0.539 (0.1946-0.8396),0.461 (0.1604-0.8054),0.178 (0.0779-0.2998)
