race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.135 (0.0752-0.1986),0.865 (0.8014-0.9248),0.4213 (0.3697-0.468)
OVAP,0.5567 (0.2983-0.8092),0.4433 (0.1908-0.7017),0.4376 (0.2409-0.6538)
