race,AG14D,AG14R,AG14Turnout
WVAP,0.317 (0.2361-0.3922),0.683 (0.6078-0.7639),0.3621 (0.3077-0.4103)
OVAP,0.6031 (0.3082-0.8759),0.3969 (0.1241-0.6918),0.412 (0.2099-0.6416)
