race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.3668 (0.2838-0.4382),0.6332 (0.5618-0.7162),0.3893 (0.3326-0.4384)
OVAP,0.5905 (0.3022-0.8425),0.4095 (0.1575-0.6978),0.4207 (0.2119-0.6589)
