race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.4154 (0.3229-0.5038),0.5846 (0.4962-0.6771),0.374 (0.3247-0.4287)
OVAP,0.6904 (0.3947-0.8865),0.3096 (0.1135-0.6053),0.5021 (0.2745-0.7106)
