race,AG14D,AG14R,AG14Turnout
WVAP,0.3145 (0.2456-0.3756),0.6855 (0.6244-0.7544),0.3403 (0.3021-0.3792)
BVAP,0.5836 (0.321-0.8474),0.4164 (0.1526-0.679),0.434 (0.2286-0.6436)
HVAP,0.5161 (0.1929-0.823),0.4839 (0.177-0.8071),0.6639 (0.3939-0.8914)
OVAP,0.522 (0.2094-0.8302),0.478 (0.1698-0.7906),0.6811 (0.3964-0.9173)
