race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.783 (0.6172-0.9249),0.217 (0.0751-0.3828),0.0553 (0.0357-0.0749)
OVAP,0.4388 (0.2377-0.61),0.5612 (0.39-0.7623),0.2538 (0.1669-0.3419)
