race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.4566 (0.249-0.6547),0.3871 (0.2059-0.5833),0.1563 (0.0575-0.2864),0.0295 (0.0175-0.0447)
OVAP,0.4991 (0.3504-0.6268),0.2766 (0.1463-0.4039),0.2243 (0.138-0.3164),0.2161 (0.1487-0.2709)
