race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.4898 (0.4167-0.5559),0.5102 (0.4441-0.5833),0.4165 (0.3583-0.4629)
OVAP,0.5333 (0.2398-0.8252),0.4667 (0.1748-0.7602),0.4015 (0.2072-0.6469)
