race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.3595 (0.2875-0.4248),0.6405 (0.5752-0.7125),0.448 (0.3993-0.4936)
OVAP,0.5419 (0.2425-0.8039),0.4581 (0.1961-0.7575),0.4312 (0.2398-0.6301)
