race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.2138 (0.1406-0.2859),0.7862 (0.7141-0.8594),0.3947 (0.3431-0.4437)
OVAP,0.5732 (0.2845-0.8468),0.4268 (0.1532-0.7155),0.426 (0.2199-0.6449)
