race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.8394 (0.5822-0.968),0.1606 (0.032-0.4178),0.012 (0.0045-0.0235)
OVAP,0.7639 (0.6511-0.8345),0.2361 (0.1655-0.3489),0.1548 (0.102-0.1915)
