race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.4088 (0.2393-0.5769),0.0459 (0.0107-0.1002),0.1115 (0.0401-0.2086),0.0398 (0.0128-0.0803),0.3941 (0.2219-0.5617),0.0277 (0.0181-0.0379)
OVAP,0.3323 (0.2033-0.4571),0.0944 (0.0587-0.1347),0.1644 (0.0959-0.2359),0.0701 (0.042-0.1019),0.3388 (0.1956-0.4643),0.1827 (0.1375-0.2279)
