race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.4875 (0.4239-0.5466),0.5125 (0.4534-0.5761),0.3952 (0.3523-0.4328)
BVAP,0.5508 (0.2496-0.8347),0.4492 (0.1653-0.7504),0.4196 (0.2158-0.653)
HVAP,0.4963 (0.1675-0.8312),0.5037 (0.1688-0.8325),0.651 (0.395-0.8858)
OVAP,0.5146 (0.2057-0.8483),0.4854 (0.1517-0.7943),0.6758 (0.3757-0.9003)
