race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.397 (0.2411-0.5735),0.0451 (0.0109-0.0922),0.0971 (0.0406-0.1829),0.0415 (0.0127-0.0827),0.4192 (0.2402-0.5892),0.0175 (0.0121-0.0242)
BVAP,0.3304 (0.1527-0.5269),0.0627 (0.0142-0.1378),0.1248 (0.035-0.2429),0.0525 (0.0132-0.1135),0.4296 (0.2229-0.6259),0.113 (0.0728-0.1566)
HVAP,0.378 (0.177-0.5802),0.1155 (0.0365-0.2132),0.183 (0.068-0.3163),0.0789 (0.0256-0.1496),0.2447 (0.0942-0.4298),0.5534 (0.3807-0.7529)
OVAP,0.3461 (0.1379-0.5444),0.0857 (0.0192-0.168),0.1708 (0.0731-0.2982),0.0656 (0.0215-0.123),0.3317 (0.1531-0.5396),0.4754 (0.3256-0.6377)
