race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.33 (0.2523-0.3939),0.67 (0.6061-0.7477),0.4518 (0.3953-0.4987)
OVAP,0.5621 (0.2681-0.8473),0.4379 (0.1527-0.7319),0.4307 (0.232-0.6669)
