race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.5677 (0.3324-0.7658),0.0913 (0.0223-0.2115),0.341 (0.1482-0.5743),0.0252 (0.0135-0.0395)
OVAP,0.3945 (0.2416-0.5212),0.1951 (0.1311-0.2803),0.4104 (0.2782-0.5399),0.2124 (0.147-0.267)
