race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.4045 (0.3275-0.4721),0.5955 (0.5279-0.6725),0.4082 (0.3532-0.4554)
OVAP,0.5801 (0.271-0.8462),0.4199 (0.1538-0.729),0.4004 (0.2021-0.6314)
