race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.4023 (0.3324-0.4593),0.5977 (0.5407-0.6676),0.5411 (0.4881-0.5919)
OVAP,0.6613 (0.375-0.9003),0.3387 (0.0997-0.625),0.4574 (0.2418-0.6821)
