race,AG18D,AG18R,AG18Turnout
WVAP,0.3659 (0.2919-0.4371),0.6341 (0.5629-0.7081),0.4215 (0.3673-0.4674)
OVAP,0.5817 (0.2647-0.8341),0.4183 (0.1659-0.7353),0.413 (0.2193-0.643)
