race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.6236 (0.5978-0.649),0.0682 (0.053-0.0843),0.3082 (0.2834-0.3322),0.111 (0.1056-0.1164)
OVAP,0.3635 (0.3227-0.404),0.2748 (0.2441-0.3069),0.3617 (0.3229-0.4013),0.144 (0.133-0.1553)
