race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.8069 (0.7766-0.8356),0.1931 (0.1644-0.2234),0.1566 (0.1481-0.1655)
OVAP,0.3476 (0.3048-0.3914),0.6524 (0.6086-0.6952),0.2525 (0.2332-0.271)
