race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.6457 (0.629-0.6622),0.3543 (0.3378-0.371),0.5408 (0.5185-0.5631)
OVAP,0.9425 (0.907-0.9675),0.0575 (0.0325-0.093),0.4242 (0.3739-0.4734)
