race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.4729 (0.4469-0.4966),0.5271 (0.5034-0.5531),0.6451 (0.6161-0.6732)
OVAP,0.9353 (0.8969-0.963),0.0647 (0.037-0.1031),0.4967 (0.4339-0.5572)
