race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.4472 (0.4263-0.4671),0.5528 (0.5329-0.5737),0.6203 (0.5989-0.6422)
OVAP,0.9729 (0.9558-0.9855),0.0271 (0.0145-0.0442),0.5344 (0.4923-0.5742)
