race,AG14D,AG14R,AG14Turnout
WVAP,0.4281 (0.408-0.4477),0.5719 (0.5523-0.592),0.4284 (0.4139-0.4429)
OVAP,0.9664 (0.9461-0.9814),0.0336 (0.0186-0.0539),0.2942 (0.2655-0.3233)
