race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9684 (0.9517-0.9807),0.0316 (0.0193-0.0483),0.0433 (0.0395-0.0472)
OVAP,0.8174 (0.7977-0.8353),0.1826 (0.1647-0.2023),0.1056 (0.0973-0.1136)
