race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.5461 (0.5298-0.5626),0.4539 (0.4374-0.4702),0.4587 (0.4434-0.4746)
OVAP,0.9608 (0.9354-0.978),0.0392 (0.022-0.0646),0.3022 (0.2701-0.334)
