race,AG18D,AG18R,AG18Turnout
WVAP,0.4928 (0.4703-0.515),0.5072 (0.485-0.5297),0.5498 (0.527-0.5736)
OVAP,0.9459 (0.9133-0.9693),0.0541 (0.0307-0.0867),0.4322 (0.3799-0.4827)
