race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.5674 (0.5484-0.5866),0.4326 (0.4134-0.4516),0.4539 (0.4375-0.4706)
BVAP,0.9685 (0.9462-0.9836),0.0315 (0.0164-0.0538),0.3335 (0.2973-0.3692)
HVAP,0.5899 (0.3194-0.8032),0.4101 (0.1968-0.6806),0.1545 (0.0669-0.2734)
OVAP,0.7708 (0.5558-0.933),0.2292 (0.067-0.4442),0.2746 (0.154-0.4089)
