race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.5436 (0.5235-0.5639),0.4564 (0.4361-0.4765),0.5069 (0.4866-0.5281)
OVAP,0.9528 (0.9241-0.9732),0.0472 (0.0268-0.0759),0.4248 (0.3804-0.4687)
